apos	273057
quot	267968
s	206869
http	79094
1	75348
2	65386
category	60521
this	58742
0	54283
www	54131
3	45820
first	42226
2010	38010
4	36388
2011	36078
other	35777
5	35566
10	34014
city	32771
two	32547
i	31719
6	29938
2008	29448
american	29177
26amp	28854
p	28757
united	28742
time	28324
2009	28117
county	27588
world	27373
2007	27239
university	27012
states	26787
7	26075
8	25424
n	25423
d	24165
years	24101
people	24027
m	23814
9	23502
used	23492
war	23049
history	23038
state	22967
12	21385
uk	21373
11	21060
2006	20458
